data,hrv_media_noite,hrv_5min_max,hrv_semanal_avg,hrv_baseline_baixo,hrv_balance_low,hrv_balance_high,hrv_status,hrv_feedback
2025-04-15,76,135,69,,,,NONE,ONBOARDING_1
2025-04-16,77,131,68,,,,NONE,ONBOARDING_1
2025-04-17,81,117,70,66,72,102,UNBALANCED,HRV_UNBALANCED_11
2025-04-18,65,105,69,66,72,100,UNBALANCED,HRV_UNBALANCED_12
2025-04-19,61,91,69,65,71,99,UNBALANCED,HRV_UNBALANCED_12
2025-04-20,57,101,69,62,69,99,BALANCED,HRV_BALANCED_3
2025-04-21,68,109,69,63,68,98,BALANCED,HRV_BALANCED_8
2025-04-22,53,99,65,63,69,97,UNBALANCED,HRV_UNBALANCED_12
2025-04-23,68,103,64,63,69,97,UNBALANCED,HRV_UNBALANCED_12
2025-04-24,72,109,63,64,69,97,LOW,HRV_LOW_5
2025-04-25,74,116,64,63,69,96,UNBALANCED,HRV_UNBALANCED_11
2025-04-26,66,149,65,63,68,95,UNBALANCED,HRV_UNBALANCED_12
2025-04-27,56,83,65,62,67,95,UNBALANCED,HRV_UNBALANCED_12
2025-04-28,60,82,64,62,67,94,UNBALANCED,HRV_UNBALANCED_12
2025-04-29,71,133,66,60,66,94,BALANCED,HRV_BALANCED_4
2025-04-30,74,116,67,60,66,93,BALANCED,HRV_BALANCED_5
2025-05-01,73,104,67,61,66,93,BALANCED,HRV_BALANCED_6
2025-05-02,71,105,67,61,66,93,BALANCED,HRV_BALANCED_2
2025-05-03,72,118,68,61,66,92,BALANCED,HRV_BALANCED_8
2025-05-04,70,104,70,60,65,92,BALANCED,HRV_BALANCED_5
2025-05-05,62,96,70,60,65,91,BALANCED,HRV_BALANCED_2
2025-05-06,66,101,69,60,65,91,BALANCED,HRV_BALANCED_2
2025-05-07,72,148,69,60,65,91,BALANCED,HRV_BALANCED_8
2025-05-08,66,114,68,60,65,90,BALANCED,HRV_BALANCED_5
2025-05-09,70,141,68,60,65,90,BALANCED,HRV_BALANCED_6
2025-05-10,77,119,69,61,66,90,BALANCED,HRV_BALANCED_7
