data,vo2max,vo2max_ciclismo,carga_aguda,carga_cronica,carga_ratio,carga_feedback,training_status,training_stress_balance
2025-04-15,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-16,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-17,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-18,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-19,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-20,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-21,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-22,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-23,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-24,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-25,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-26,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-27,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-28,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-29,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-04-30,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-05-01,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-05-02,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-05-03,"{'calendarDate': '2025-04-13', 'vo2MaxPreciseValue': 57.8, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
2025-05-04,"{'calendarDate': '2025-05-04', 'vo2MaxPreciseValue': 57.7, 'vo2MaxValue': 58.0, 'fitnessAge': None, 'fitnessAgeDescription': None, 'maxMetCategory': 0}",,,,,,,
