data,duracao_total_min,sono_profundo_min,sono_leve_min,sono_rem_min,acordado_min,vezes_acordado,momentos_agitados,score_geral,score_geral_qualif,score_rem_pct,score_rem_qualif,score_deep_pct,score_deep_qualif,score_light_pct,score_duracao_qualif,score_stress_qualif,score_agitacao_qualif,feedback_sono,insight_personalizado,hrv_medio_noite,hrv_status,fc_media_sono,fc_repouso,respiracao_media,respiracao_minima,respiracao_maxima,stress_medio_sono,body_battery_variacao,sono_necessidade_baseline,sono_necessidade_real,sono_ajuste_treino,sono_ajuste_hrv
2025-04-15,437.0,109.0,235.0,93.0,0.0,0,,89,GOOD,21,GOOD,25,EXCELLENT,54,EXCELLENT,GOOD,EXCELLENT,POSITIVE_LONG_AND_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,,42,12.0,6.0,17.0,15.0,57,480,450,NO_CHANGE,NO_DATA
2025-04-16,415.0,101.0,226.0,88.0,1.0,0,,82,GOOD,21,GOOD,24,EXCELLENT,54,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,,42,12.0,7.0,18.0,16.0,59,480,480,NO_CHANGE,NO_DATA
2025-04-17,422.3,113.0,259.0,51.0,1.0,0,,82,GOOD,12,FAIR,27,EXCELLENT,61,FAIR,EXCELLENT,EXCELLENT,POSITIVE_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,,40,13.0,8.0,23.0,12.0,63,480,480,NO_CHANGE,NO_DATA
2025-04-18,438.0,104.0,258.0,76.0,1.0,0,,84,GOOD,17,FAIR,24,EXCELLENT,59,GOOD,FAIR,EXCELLENT,POSITIVE_LONG_AND_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,,42,13.0,7.0,19.0,17.0,58,480,480,NO_CHANGE,NO_CHANGE
2025-04-19,422.9,85.0,314.0,24.0,13.0,1,,67,FAIR,6,POOR,20,EXCELLENT,74,FAIR,FAIR,EXCELLENT,NEGATIVE_NOT_ENOUGH_REM,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY,,,,47,14.0,8.0,22.0,23.0,44,480,480,NO_CHANGE,NO_CHANGE
2025-04-20,457.0,110.0,286.0,61.0,9.0,1,,78,FAIR,13,FAIR,24,EXCELLENT,63,EXCELLENT,FAIR,EXCELLENT,POSITIVE_LONG_AND_DEEP,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,,47,13.0,8.0,20.0,24.0,57,480,520,NO_CHANGE,INCREASING
2025-04-21,521.8,123.0,358.0,41.0,8.0,0,,76,FAIR,8,POOR,24,EXCELLENT,69,EXCELLENT,FAIR,EXCELLENT,NEGATIVE_LONG_BUT_NOT_ENOUGH_REM,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY,,,,47,13.0,7.0,21.0,21.0,58,480,480,NO_CHANGE,NO_CHANGE
2025-04-22,293.8,91.0,203.0,0.0,1.0,0,,48,POOR,0,POOR,31,EXCELLENT,69,POOR,POOR,EXCELLENT,NEGATIVE_SHORT_AND_NONRECOVERING,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY,,,,48,14.0,7.0,19.0,28.0,24,480,480,NO_CHANGE,NO_CHANGE
2025-04-23,434.2,86.0,270.0,79.0,10.0,1,,81,GOOD,18,FAIR,20,EXCELLENT,62,GOOD,FAIR,EXCELLENT,POSITIVE_LONG_AND_CALM,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,,48,12.0,7.0,18.0,19.0,59,480,540,NO_CHANGE,INCREASING
2025-04-24,424.0,99.0,248.0,77.0,8.0,1,,79,FAIR,18,FAIR,23,EXCELLENT,58,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY,,,,45,12.0,7.0,17.0,20.0,59,480,520,NO_CHANGE,INCREASING
2025-04-25,492.0,92.0,269.0,131.0,13.0,2,,90,EXCELLENT,27,EXCELLENT,19,EXCELLENT,55,EXCELLENT,GOOD,GOOD,POSITIVE_OPTIMAL_STRUCTURE,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,,45,12.0,7.0,16.0,16.0,61,480,520,NO_CHANGE,INCREASING
2025-04-26,545.7,103.0,339.0,104.0,9.0,1,,84,GOOD,19,FAIR,19,EXCELLENT,62,EXCELLENT,FAIR,GOOD,POSITIVE_LONG_AND_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,,46,13.0,7.0,18.0,21.0,55,480,500,NO_CHANGE,INCREASING
2025-04-27,413.4,103.0,262.0,49.0,6.0,0,,65,FAIR,12,FAIR,25,EXCELLENT,63,FAIR,POOR,EXCELLENT,NEGATIVE_NOT_RESTORATIVE,RHYTHM_NEG_FAIR_SLEEP_REALLY_LATE_TIMING,,,,49,14.0,8.0,19.0,33.0,34,480,480,NO_CHANGE,INCREASING
2025-04-28,483.0,133.0,282.0,68.0,6.0,0,,85,GOOD,14,FAIR,28,EXCELLENT,58,EXCELLENT,FAIR,EXCELLENT,POSITIVE_LONG_AND_CONTINUOUS,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,,48,13.0,9.0,18.0,18.0,54,480,480,NO_CHANGE,NO_CHANGE
